"Tail_Number","NumberOfFlights","Average_Departure_Delay"
"""N986JB""","70","18.685714285714287"
"""N495UA""","92","18.684782608695652"
"""N206SY""","107","18.682242990654206"
"""N460SW""","100","18.68"
"""N192JB""","153","18.666666666666668"
"""N8804L""","141","18.666666666666668"
"""N8745K""","150","18.66"
"""N705UW""","85","18.658823529411766"
"""N952JB""","90","18.655555555555555"
"""N612NK""","124","18.653225806451612"
"""N582UW""","106","18.650943396226417"
"""N8829Q""","143","18.65034965034965"
"""N678DL""","108","18.64814814814815"
"""N809CA""","104","18.64423076923077"
"""N8616C""","151","18.642384105960264"
"""N33286""","95","18.642105263157895"
"""N729JB""","80","18.6375"
"""N762SK""","93","18.623655913978496"
"""N930NN""","94","18.617021276595743"
"""N308PQ""","57","18.614035087719298"
"""N119NN""","103","18.611650485436893"
"""N8795L""","121","18.611570247933884"
"""N24202""","100","18.61"
"""N403AN""","87","18.597701149425287"
"""N1605""","17","18.58823529411765"
"""N922AE""","116","18.586206896551722"
"""N774DE""","64","18.578125"
"""N930XJ""","118","18.576271186440678"
"""N682NK""","105","18.571428571428573"
"""N925EV""","99","18.565656565656564"
"""N294PQ""","95","18.557894736842105"
"""N111NG""","109","18.55045871559633"
"""N396DA""","60","18.55"
"""N37419""","70","18.542857142857144"
"""N76288""","76","18.539473684210527"
"""N91007""","15","18.533333333333335"
"""N693CA""","122","18.5327868852459"
"""N845NN""","96","18.5"
"""N590AS""","74","18.5"
"""N279PQ""","112","18.5"
"""N8325D""","150","18.493333333333332"
"""N8545V""","149","18.48993288590604"
"""N906NK""","109","18.486238532110093"
"""N845UA""","89","18.48314606741573"
"""N500WR""","158","18.481012658227847"
"""N73270""","75","18.48"
"""N379DN""","115","18.47826086956522"
"""N424WN""","164","18.475609756097562"
"""N8726H""","141","18.47517730496454"
"""N249WN""","115","18.469565217391306"
"""N69829""","69","18.463768115942027"
"""237NV""","67","18.46268656716418"
"""N351FR""","63","18.46031746031746"
"""260NV""","81","18.45679012345679"
"""N749SW""","143","18.454545454545453"
"""N38473""","72","18.444444444444443"
"""N113DQ""","84","18.44047619047619"
"""N594AS""","66","18.439393939393938"
"""N873NN""","105","18.438095238095237"
"""N11191""","120","18.433333333333334"
"""N706SK""","21","18.428571428571427"
"""N506DA""","75","18.426666666666666"
"""N536JB""","78","18.397435897435898"
"""N809DN""","79","18.39240506329114"
"""N509JB""","74","18.39189189189189"
"""N773SK""","91","18.384615384615383"
"""N787UA""","27","18.37037037037037"
"""N519JB""","81","18.37037037037037"
"""N649JB""","78","18.358974358974358"
"""N818UA""","121","18.355371900826448"
"""N11184""","116","18.353448275862068"
"""N130SY""","134","18.33582089552239"
"""N391HA""","50","18.32"
"""N314NB""","107","18.317757009345794"
"""N66893""","80","18.3125"
"""283NV""","86","18.302325581395348"
"""N334NW""","98","18.29591836734694"
"""N519SY""","71","18.295774647887324"
"""N423AW""","139","18.294964028776977"
"""280NV""","68","18.294117647058822"
"""N452AN""","95","18.28421052631579"
"""N651JB""","75","18.28"
"""N336DX""","129","18.271317829457363"
"""N134EV""","135","18.25925925925926"
"""N359PX""","96","18.25"
"""N481UA""","84","18.238095238095237"
"""N8525S""","115","18.234782608695653"
"""N928EV""","127","18.22047244094488"
"""N293PQ""","69","18.202898550724637"
"""N775XF""","122","18.19672131147541"
"""N8562Z""","154","18.194805194805195"
"""N822DX""","150","18.18"
"""N3762Y""","98","18.163265306122447"
"""N419UA""","92","18.16304347826087"
"""N822DN""","79","18.151898734177216"
"""N86350""","35","18.142857142857142"
"""N9004F""","59","18.135593220338983"
"""N942AN""","89","18.134831460674157"
"""N926VA""","61","18.131147540983605"
"""N8630B""","170","18.123529411764707"
"""N929VA""","57","18.12280701754386"
"""N62883""","87","18.114942528735632"
"""N380DA""","57","18.105263157894736"
"""N8747Q""","128","18.1015625"
"""N515DN""","12","18.083333333333332"
"""N141SY""","112","18.0625"
"""N672AE""","133","18.06015037593985"
"""N778XF""","128","18.0546875"
"""N316NB""","102","18.03921568627451"
"""N556NW""","85","18.03529411764706"
"""N933LR""","108","18.02777777777778"
"""N897SK""","125","18.024"
"""313NV""","59","18.016949152542374"
"""N8813Q""","156","18.012820512820515"
"""223NV""","78","18.012820512820515"
"""N831NW""","2","18.0"
"""N389FR""","94","18.0"
"""N183GJ""","118","18.0"
"""N127UW""","135","17.992592592592594"
"""N208WN""","122","17.991803278688526"
"""N136AN""","95","17.989473684210527"
"""N7850B""","152","17.980263157894736"
"""N88328""","101","17.980198019801982"
"""N8782Q""","137","17.978102189781023"
"""N535NK""","120","17.975"
"""N849VA""","29","17.96551724137931"
"""N423WN""","152","17.960526315789473"
"""N381DN""","66","17.954545454545453"
"""N292WN""","128","17.953125"
"""N103SY""","119","17.949579831932773"
"""N66825""","73","17.945205479452056"
"""N16147""","91","17.945054945054945"
"""N76254""","104","17.942307692307693"
"""N2136U""","16","17.9375"
"""N75436""","59","17.93220338983051"
"""N116SY""","110","17.927272727272726"
"""N8531Q""","150","17.92"
"""N14198""","128","17.9140625"
"""N12201""","121","17.90082644628099"
"""N877UA""","109","17.89908256880734"
"""N54241""","98","17.897959183673468"
"""N326RP""","51","17.88235294117647"
"""N69839""","71","17.87323943661972"
"""N607SK""","68","17.86764705882353"
"""N639NK""","124","17.862903225806452"
"""N724UW""","102","17.862745098039216"
"""N369FR""","132","17.856060606060606"
"""N939WN""","149","17.85234899328859"
"""N7749B""","54","17.85185185185185"
"""N127AA""","67","17.850746268656717"
"""N927UW""","111","17.846846846846848"
"""N464UA""","89","17.84269662921348"
"""N414UA""","93","17.838709677419356"
"""N394DX""","114","17.833333333333332"
"""N132AN""","84","17.80952380952381"
"""N750UW""","94","17.80851063829787"
"""N521GJ""","120","17.808333333333334"
"""N608NK""","140","17.8"
"""N7738A""","118","17.796610169491526"
"""N230FR""","68","17.794117647058822"
"""N876AL""","24","17.791666666666668"
"""N724SK""","51","17.784313725490197"
"""N965AN""","106","17.78301886792453"
"""N235WN""","161","17.77639751552795"
"""N909SW""","119","17.77310924369748"
"""N710UW""","136","17.772058823529413"
"""N784JB""","64","17.765625"
"""N133HQ""","109","17.761467889908257"
"""N921AT""","144","17.756944444444443"
"""N8754S""","146","17.753424657534246"
"""N924NN""","89","17.752808988764045"
"""N269NN""","132","17.75"
"""N949AK""","84","17.738095238095237"
"""N826NN""","87","17.735632183908045"
"""N238FR""","130","17.73076923076923"
"""N27268""","89","17.730337078651687"
"""N605LR""","125","17.728"
"""N7877H""","162","17.72222222222222"
"""N697DL""","111","17.72072072072072"
"""N8721J""","127","17.708661417322833"
"""N346JB""","104","17.701923076923077"
"""N676NK""","103","17.699029126213592"
"""N351NB""","23","17.695652173913043"
"""N12175""","107","17.69158878504673"
"""N315SY""","145","17.689655172413794"
"""N934AA""","89","17.685393258426966"
"""N566WN""","155","17.677419354838708"
"""298NV""","82","17.670731707317074"
"""N8673F""","147","17.65986394557823"
"""N771UA""","70","17.65714285714286"
"""N301FR""","112","17.642857142857142"
"""N7879A""","156","17.641025641025642"
"""N207SY""","116","17.629310344827587"
"""N202HA""","62","17.629032258064516"
"""262NV""","43","17.627906976744185"
"""N14174""","133","17.62406015037594"
"""N502GJ""","71","17.619718309859156"
"""N671NK""","122","17.614754098360656"
"""N976AK""","98","17.602040816326532"
"""N37521""","107","17.598130841121495"
"""N945NK""","119","17.596638655462186"
"""N476UA""","93","17.591397849462364"
"""N617UX""","110","17.59090909090909"
"""N8710M""","154","17.59090909090909"
"""N768RD""","142","17.58450704225352"
"""N29907""","12","17.583333333333332"
"""N68823""","67","17.582089552238806"
"""N222UA""","43","17.58139534883721"
"""N896DN""","85","17.576470588235296"
"""287NV""","106","17.57547169811321"
"""N7713A""","56","17.571428571428573"
"""N177DZ""","14","17.571428571428573"
"""N502DX""","82","17.5609756097561"
"""316NV""","34","17.558823529411764"
"""N68836""","86","17.558139534883722"
"""N76021""","9","17.555555555555557"
"""N713FR""","96","17.552083333333332"
"""N279JB""","165","17.53939393939394"
"""N809SK""","129","17.53488372093023"
"""N455WN""","161","17.53416149068323"
"""N575DZ""","38","17.5"
"""N907WN""","98","17.5"
"""N508NK""","98","17.489795918367346"
"""N932AM""","86","17.488372093023255"
"""N947NN""","94","17.47872340425532"
"""N114DN""","113","17.47787610619469"
"""N78448""","78","17.474358974358974"
"""N8808Q""","152","17.467105263157894"
"""N383DN""","72","17.458333333333332"
"""N349NB""","127","17.448818897637796"
"""N692CA""","128","17.4453125"
"""N781WN""","160","17.44375"
"""N108DN""","120","17.441666666666666"
"""N8786Q""","111","17.44144144144144"
"""N690NK""","109","17.440366972477065"
"""N508AE""","42","17.428571428571427"
"""N334NB""","55","17.418181818181818"
"""N27255""","99","17.414141414141415"
"""N956AN""","79","17.40506329113924"
"""N37470""","91","17.395604395604394"
"""N804AW""","119","17.394957983193276"
"""N8676A""","154","17.38961038961039"
"""N769UA""","58","17.379310344827587"
"""N821NN""","77","17.363636363636363"
"""N950NN""","83","17.36144578313253"
"""N147AA""","79","17.354430379746834"
"""N223WN""","96","17.354166666666668"
"""N995AT""","174","17.350574712643677"
"""N30401""","117","17.34188034188034"
"""N37408""","119","17.33613445378151"
"""N142DU""","129","17.333333333333332"
"""N204UA""","3","17.333333333333332"
"""N8626B""","112","17.330357142857142"
"""N554CA""","111","17.324324324324323"
"""N391CA""","81","17.320987654320987"
"""N686DA""","100","17.32"
"""N949AN""","69","17.318840579710145"
"""N505NK""","135","17.31851851851852"
"""N916NN""","95","17.31578947368421"
"""N76528""","70","17.314285714285713"
"""N535UW""","83","17.313253012048193"
"""N942NN""","88","17.306818181818183"
"""230NV""","36","17.305555555555557"
"""N983AT""","155","17.283870967741937"
"""N802UA""","127","17.283464566929133"
"""N650AW""","104","17.278846153846153"
"""N785SK""","106","17.27358490566038"
"""N47281""","99","17.262626262626263"
"""N506AS""","78","17.256410256410255"
"""N804SK""","129","17.25581395348837"
"""N68453""","60","17.25"
"""N306SY""","148","17.25"
"""N722TW""","67","17.238805970149254"
"""N450AN""","94","17.23404255319149"
"""N668AW""","137","17.233576642335766"
"""N298PQ""","126","17.23015873015873"
"""N377FR""","120","17.225"
"""N195DN""","19","17.210526315789473"
"""N405AN""","77","17.207792207792206"
"""N224JQ""","118","17.194915254237287"
"""N961NK""","89","17.191011235955056"
"""N8540V""","158","17.189873417721518"
"""N8771D""","141","17.18439716312057"
"""N670AE""","122","17.18032786885246"
"""N8690A""","151","17.178807947019866"
"""N8669B""","151","17.178807947019866"
"""N486UA""","110","17.163636363636364"
"""N849NN""","105","17.16190476190476"
"""N681DA""","113","17.15929203539823"
"""N328JB""","89","17.15730337078652"
"""N880DN""","83","17.156626506024097"
"""N768JB""","78","17.153846153846153"
"""N742PS""","121","17.14876033057851"
"""N416WN""","156","17.141025641025642"
"""N313PQ""","137","17.138686131386862"
"""N420AN""","96","17.125"
"""N14704""","77","17.116883116883116"
"""N106DN""","104","17.10576923076923"
"""N105UW""","107","17.102803738317757"
"""N963AN""","59","17.10169491525424"
"""N352FR""","119","17.100840336134453"
"""N267SY""","104","17.096153846153847"
"""N79402""","103","17.04854368932039"
"""N862NN""","103","17.04854368932039"
"""N7849A""","175","17.045714285714286"
"""N113DX""","118","17.04237288135593"
"""N8809L""","151","17.039735099337747"
"""N421QX""","90","17.033333333333335"
"""N748SW""","157","17.03184713375796"
"""N457AM""","109","17.027522935779817"
"""N651AW""","110","17.027272727272727"
"""N527NK""","115","17.017391304347825"
"""N85351""","72","17.01388888888889"
"""N436UA""","79","17.0126582278481"
"""N7729A""","115","17.008695652173913"
"""N830NW""","2","17.0"
"""N954JB""","36","17.0"
"""N804NW""","3","17.0"
"""N13110""","6","17.0"
"""N229UA""","19","17.0"
"""N983JT""","74","17.0"
"""N317FR""","123","16.991869918699187"
"""N77518""","87","16.988505747126435"
"""N811DZ""","89","16.97752808988764"
"""N444ZW""","128","16.96875"
"""N836AY""","136","16.96323529411765"
"""191NV""","88","16.954545454545453"
"""N285SY""","161","16.950310559006212"
"""N918NK""","110","16.945454545454545"
"""N459UA""","73","16.945205479452056"
"""N7866A""","163","16.94478527607362"
"""N804DN""","70","16.942857142857143"
"""N978AT""","168","16.94047619047619"
"""N444QX""","16","16.9375"
"""N456WN""","60","16.933333333333334"
"""N908EV""","102","16.92156862745098"
"""N719EV""","84","16.916666666666668"
"""N968AN""","79","16.911392405063292"
"""N182GJ""","155","16.90967741935484"
"""N948NK""","106","16.90566037735849"
"""N31131""","122","16.901639344262296"
"""N872DN""","87","16.896551724137932"
"""N594NW""","109","16.889908256880734"
"""N427WN""","148","16.87837837837838"
"""N475WN""","150","16.873333333333335"
"""N12221""","98","16.867346938775512"
"""N48127""","67","16.865671641791046"
"""N458AW""","103","16.864077669902912"
"""N920NN""","110","16.863636363636363"
"""N314DN""","64","16.859375"
"""N39416""","83","16.85542168674699"
"""N520GJ""","81","16.85185185185185"
"""N62892""","74","16.85135135135135"
"""N147PQ""","25","16.84"
"""N401DZ""","6","16.833333333333332"
"""N264NN""","101","16.831683168316832"
"""N548GJ""","115","16.82608695652174"
"""N868AS""","89","16.820224719101123"
"""N1603""","38","16.81578947368421"
"""N613NK""","107","16.813084112149532"
"""N442AW""","124","16.806451612903224"
"""N8812Q""","152","16.789473684210527"
"""N483WN""","128","16.7890625"
"""N632JB""","36","16.77777777777778"
"""N13138""","62","16.758064516129032"
"""N354CA""","101","16.752475247524753"
"""N509DT""","84","16.738095238095237"
"""N87339""","49","16.73469387755102"
"""203NV""","71","16.732394366197184"
"""N937XJ""","110","16.71818181818182"
"""N165SY""","129","16.713178294573645"
"""N37545""","102","16.69607843137255"
"""N364NW""","113","16.690265486725664"
"""N887NN""","93","16.688172043010752"
"""N947AN""","67","16.686567164179106"
"""N801DZ""","81","16.666666666666668"
"""N802AW""","124","16.661290322580644"
"""N481WN""","162","16.660493827160494"
"""N16234""","99","16.656565656565657"
"""N901WN""","136","16.654411764705884"
"""N534JB""","102","16.647058823529413"
"""N275NN""","129","16.643410852713178"
"""N647NK""","132","16.636363636363637"
"""N980UY""","118","16.627118644067796"
"""N879NN""","91","16.626373626373628"
"""N124US""","115","16.62608695652174"
"""N39418""","69","16.6231884057971"
"""N325NB""","106","16.62264150943396"
"""N817AW""","131","16.61832061068702"
"""323NV""","128","16.609375"
"""N907DN""","87","16.60919540229885"
"""N12216""","104","16.58653846153846"
"""N305DN""","115","16.57391304347826"
"""N355DN""","110","16.572727272727274"
"""N73445""","79","16.569620253164558"
"""N7846A""","140","16.557142857142857"
"""N191UW""","117","16.555555555555557"
"""N8682B""","148","16.554054054054053"
"""248NV""","74","16.54054054054054"
"""N342FR""","115","16.53913043478261"
"""N900PC""","84","16.535714285714285"
"""N130DU""","131","16.52671755725191"
"""N121DZ""","112","16.508928571428573"
"""N7835A""","122","16.508196721311474"
"""N7843A""","161","16.503105590062113"
"""N547US""","86","16.5"
"""N576UW""","104","16.5"
"""N741EV""","46","16.5"
"""N676UA""","4","16.5"
"""N902AA""","93","16.49462365591398"
"""N712JB""","94","16.48936170212766"
"""N702TW""","60","16.483333333333334"
"""N8903A""","67","16.47761194029851"
"""N62895""","78","16.474358974358974"
"""N604AW""","125","16.464"
"""N519NK""","104","16.46153846153846"
"""N935XJ""","123","16.45528455284553"
"""N2043J""","36","16.444444444444443"
"""N8532S""","147","16.4421768707483"
"""N349DX""","114","16.43859649122807"
"""N801AC""","23","16.434782608695652"
"""N577AS""","51","16.431372549019606"
"""N886NN""","81","16.419753086419753"
"""N17272""","117","16.418803418803417"
"""N371NB""","106","16.41509433962264"
"""N602XJ""","156","16.41025641025641"
"""N39450""","81","16.40740740740741"
"""N558WN""","124","16.39516129032258"
"""N493UA""","107","16.39252336448598"
"""N786UA""","23","16.391304347826086"
"""N8609A""","101","16.386138613861387"
"""N510DE""","79","16.379746835443036"
"""N8814K""","166","16.373493975903614"
"""N339SU""","59","16.372881355932204"
"""N391DN""","116","16.370689655172413"
"""N904FJ""","90","16.366666666666667"
"""N404WN""","166","16.35542168674699"
"""N8610A""","85","16.341176470588234"
"""N662AW""","138","16.333333333333332"
"""N275WN""","3","16.333333333333332"
"""N158AN""","99","16.303030303030305"
"""N809NN""","100","16.3"
"""N503GJ""","75","16.293333333333333"
"""N69847""","104","16.28846153846154"
"""N556UW""","111","16.28828828828829"
"""N409WN""","139","16.287769784172664"
"""N476WN""","137","16.27007299270073"
"""N706JB""","76","16.263157894736842"
"""N392DN""","118","16.26271186440678"
"""N877DN""","61","16.262295081967213"
"""N17133""","61","16.262295081967213"
"""N122NN""","103","16.262135922330096"
"""N27274""","104","16.259615384615383"
"""N109SY""","20","16.25"
"""N489UA""","104","16.25"
"""N966JT""","72","16.25"
"""N277WN""","170","16.241176470588236"
"""N839AW""","123","16.227642276422763"
"""N453QX""","73","16.21917808219178"
"""N8695D""","166","16.204819277108435"
"""N450WN""","151","16.192052980132452"
"""N564AS""","70","16.185714285714287"
"""N246PS""","118","16.177966101694917"
"""N414WN""","137","16.175182481751825"
"""N990AN""","80","16.175"
"""N900UW""","100","16.17"
"""N411UA""","106","16.169811320754718"
"""N233LV""","161","16.161490683229815"
"""N919FJ""","44","16.15909090909091"
"""N747SA""","160","16.15625"
"""N789JB""","59","16.152542372881356"
"""N418WN""","172","16.1453488372093"
"""N586NW""","93","16.13978494623656"
"""N372FR""","129","16.13953488372093"
"""N892UA""","43","16.13953488372093"
"""N441UW""","99","16.13131313131313"
"""N204HA""","56","16.125"
"""N105DX""","112","16.125"
"""N824AW""","142","16.119718309859156"
"""N853NN""","82","16.109756097560975"
"""N507NK""","113","16.106194690265486"
"""N642RW""","117","16.102564102564102"
"""N694DL""","30","16.1"
"""N889DN""","82","16.097560975609756"
"""N941LT""","125","16.096"
"""N878NN""","77","16.09090909090909"
"""N404DX""","11","16.09090909090909"
"""N8306H""","154","16.09090909090909"
"""N959LR""","23","16.08695652173913"
"""N384DN""","118","16.076271186440678"
"""N6704Z""","85","16.070588235294117"
"""N150NN""","90","16.066666666666666"
"""235NV""","92","16.065217391304348"
"""N601AW""","97","16.061855670103093"
"""N480PX""","100","16.06"
"""N111DC""","101","16.059405940594058"
"""N373DX""","106","16.056603773584907"
"""N85358""","73","16.054794520547944"
"""N516JB""","75","16.053333333333335"
"""N362DN""","126","16.047619047619047"
"""N813AW""","125","16.04"
"""N327NW""","133","16.037593984962406"
"""N557NW""","88","16.03409090909091"
"""N3750D""","83","16.012048192771083"
"""N73251""","88","16.011363636363637"
"""N88325""","98","16.010204081632654"
"""N13161""","105","16.00952380952381"
"""N126DN""","121","16.00826446280992"
"""N7858A""","171","16.005847953216374"
"""N507AY""","100","16.0"
"""N309US""","4","16.0"
"""N78501""","100","16.0"
"""N17285""","103","15.990291262135923"
"""N261WN""","135","15.985185185185186"
"""N492UA""","98","15.979591836734693"
"""N920WN""","126","15.976190476190476"
"""N347NW""","92","15.967391304347826"
"""N918AN""","98","15.948979591836734"
"""N37257""","72","15.944444444444445"
"""N27733""","81","15.938271604938272"
"""N407AS""","97","15.938144329896907"
"""N859DN""","71","15.929577464788732"
"""N376DN""","113","15.929203539823009"
"""N249JB""","162","15.925925925925926"
"""N366NB""","132","15.916666666666666"
"""N27520""","102","15.911764705882353"
"""N7815L""","104","15.903846153846153"
"""N8739L""","131","15.900763358778626"
"""N8822Q""","158","15.89240506329114"
"""N535US""","64","15.890625"
"""N68834""","75","15.88"
"""N36447""","74","15.878378378378379"
"""N597AS""","73","15.876712328767123"
"""N364DX""","125","15.872"
"""N645NK""","128","15.84375"
"""N7873A""","169","15.840236686390533"
"""N164NN""","100","15.84"
"""N811AB""","6","15.833333333333334"
"""N8766T""","139","15.827338129496402"
"""N522DA""","91","15.824175824175825"
"""N3763D""","89","15.820224719101123"
"""N33292""","94","15.819148936170214"
"""N491UA""","94","15.808510638297872"
"""N306DN""","120","15.808333333333334"
"""N7817J""","150","15.806666666666667"
"""N306NY""","48","15.791666666666666"
"""N958JB""","85","15.788235294117648"
"""N37420""","84","15.785714285714286"
"""N321NB""","115","15.782608695652174"
"""N12028""","72","15.777777777777779"
"""N823AN""","18","15.777777777777779"
"""N946JL""","35","15.771428571428572"
"""N11181""","101","15.762376237623762"
"""N928NN""","78","15.743589743589743"
"""N709FR""","115","15.73913043478261"
"""N710SK""","102","15.735294117647058"
"""286NV""","88","15.727272727272727"
"""N133EV""","134","15.723880597014926"
"""N143SY""","132","15.719696969696969"
"""238NV""","82","15.71951219512195"
"""N8301J""","146","15.712328767123287"
"""N872RW""","92","15.706521739130435"
"""N166NN""","92","15.706521739130435"
"""N123DW""","115","15.704347826086957"
"""N646AE""","153","15.699346405228757"
"""N733UW""","88","15.693181818181818"
"""N8756S""","121","15.685950413223141"
"""N777QC""","139","15.683453237410072"
"""N8603F""","138","15.681159420289855"
"""N314RH""","50","15.66"
"""N837NN""","91","15.659340659340659"
"""N981UY""","99","15.656565656565656"
"""N229NN""","149","15.651006711409396"
"""N903AA""","94","15.648936170212766"
"""N365NW""","142","15.640845070422536"
"""N307AS""","105","15.638095238095238"
"""N944NN""","81","15.62962962962963"
"""N8816Q""","151","15.6158940397351"
"""N37538""","117","15.615384615384615"
"""N375DA""","68","15.602941176470589"
"""N580JB""","87","15.597701149425287"
"""N8791D""","124","15.596774193548388"
"""N805SK""","132","15.590909090909092"
"""N599NN""","138","15.58695652173913"
"""N509NK""","132","15.583333333333334"
"""N516NK""","117","15.581196581196581"
"""N613UX""","95","15.578947368421053"
"""N336PQ""","130","15.569230769230769"
"""N415AW""","129","15.565891472868216"
"""N367CA""","94","15.563829787234043"
"""N804NN""","103","15.563106796116505"
"""N444WN""","179","15.558659217877095"
"""N14158""","134","15.544776119402986"
"""N446AN""","72","15.541666666666666"
"""N144SY""","102","15.53921568627451"
"""N17126""","69","15.53623188405797"
"""N14102""","53","15.528301886792454"
"""N356DN""","108","15.527777777777779"
"""N703UW""","80","15.525"
"""N36472""","70","15.514285714285714"
"""N470UA""","80","15.5125"
"""N8579Z""","164","15.50609756097561"
"""N69059""","4","15.5"
"""N413SY""","106","15.5"
"""N736AT""","4","15.5"
"""N917DU""","80","15.5"
"""N8833L""","115","15.495652173913044"
"""N184DN""","49","15.489795918367347"
"""N977JE""","74","15.486486486486486"
"""N406WN""","140","15.485714285714286"
"""N987AM""","93","15.483870967741936"
"""N38268""","91","15.483516483516484"
"""N327NB""","85","15.470588235294118"
"""N749US""","128","15.46875"
"""N897DN""","79","15.468354430379748"
"""N36207""","92","15.467391304347826"
"""N324RA""","41","15.463414634146341"
"""N8723Q""","126","15.46031746031746"
"""N348DN""","108","15.453703703703704"
"""N833UA""","98","15.448979591836734"
"""N598JB""","66","15.43939393939394"
"""N954NN""","57","15.43859649122807"
"""N182DN""","62","15.435483870967742"
"""N16151""","134","15.432835820895523"
"""N8638A""","155","15.425806451612903"
"""N108NN""","40","15.425"
"""N69804""","66","15.424242424242424"
"""N355NW""","85","15.423529411764706"
"""N446YX""","124","15.419354838709678"
"""N350RV""","55","15.418181818181818"
"""N742SK""","87","15.413793103448276"
"""N37531""","110","15.409090909090908"
"""N436AN""","76","15.407894736842104"
"""N77871""","74","15.405405405405405"
"""N128SY""","95","15.4"
"""N642AE""","135","15.392592592592592"
"""N196DN""","68","15.382352941176471"
"""N695NK""","132","15.378787878787879"
"""N514DE""","37","15.378378378378379"
"""N510UW""","120","15.375"
"""N250NN""","135","15.362962962962962"
"""N429AW""","75","15.36"
"""N814AW""","104","15.35576923076923"
"""N536US""","20","15.35"
"""N8329B""","145","15.344827586206897"
"""N407WN""","116","15.336206896551724"
"""N961NN""","99","15.333333333333334"
"""N466UA""","87","15.333333333333334"
"""N319DN""","108","15.324074074074074"
"""N25705""","93","15.32258064516129"
"""N7727A""","124","15.306451612903226"
"""N627AE""","147","15.299319727891156"
"""N934NK""","117","15.2991452991453"
"""N810NN""","84","15.297619047619047"
"""N919NK""","118","15.296610169491526"
"""N7720F""","150","15.293333333333333"
"""N415UA""","62","15.290322580645162"
"""N464AW""","31","15.290322580645162"
"""N816AW""","113","15.283185840707965"
"""N850NN""","103","15.281553398058252"
"""N768UA""","61","15.278688524590164"
"""N339FR""","135","15.274074074074074"
"""N579UW""","118","15.271186440677965"
"""N430UA""","85","15.270588235294118"
"""N303DN""","121","15.264462809917354"
"""N429AN""","92","15.26086956521739"
"""N290WN""","161","15.26086956521739"
"""N324DX""","124","15.258064516129032"
"""N119US""","152","15.256578947368421"
"""N827JB""","63","15.253968253968255"
"""N908SW""","100","15.25"
"""N830NN""","94","15.24468085106383"
"""N9021H""","63","15.222222222222221"
"""N266NN""","128","15.21875"
"""N669DN""","98","15.214285714285714"
"""N8694E""","150","15.213333333333333"
"""N845DN""","49","15.204081632653061"
"""N522GJ""","128","15.203125"
"""N474UA""","92","15.195652173913043"
"""N8553W""","145","15.193103448275862"
"""N928WN""","151","15.178807947019868"
"""N795UA""","17","15.176470588235293"
"""N8564Z""","159","15.176100628930818"
"""N924AT""","161","15.173913043478262"
"""N702FR""","91","15.164835164835164"
"""N381DZ""","118","15.161016949152541"
"""N428UA""","90","15.155555555555555"
"""N200NN""","149","15.154362416107382"
"""N463WN""","157","15.152866242038217"
"""N14250""","107","15.149532710280374"
"""N121UW""","124","15.14516129032258"
"""N921DU""","91","15.142857142857142"
"""N767SW""","150","15.133333333333333"
"""N836DN""","75","15.133333333333333"
"""N696DL""","71","15.126760563380282"
"""N6710E""","93","15.118279569892474"
"""N8815L""","150","15.113333333333333"
"""N646NK""","125","15.112"
"""N87306""","107","15.102803738317757"
"""N302NB""","100","15.1"
"""N546GJ""","63","15.095238095238095"
"""N8323C""","138","15.094202898550725"
"""N358DN""","109","15.091743119266056"
"""N658DL""","101","15.089108910891088"
"""N449WN""","167","15.083832335329342"
"""N202SY""","121","15.082644628099173"
"""N310SY""","123","15.073170731707316"
"""N66841""","82","15.073170731707316"
"""N8742M""","131","15.068702290076336"
"""N956NN""","102","15.068627450980392"
"""N14228""","89","15.067415730337078"
"""N232WN""","168","15.06547619047619"
"""N21144""","111","15.063063063063064"
"""N8625A""","149","15.060402684563758"
"""N57864""","84","15.05952380952381"
"""N230WN""","163","15.049079754601227"
"""N788UA""","26","15.038461538461538"
"""N53442""","79","15.037974683544304"
"""N327SK""","54","15.037037037037036"
"""N917AN""","82","15.036585365853659"
"""N189UW""","110","15.036363636363637"
"""N815AW""","116","15.03448275862069"
"""N316PF""","107","15.02803738317757"
"""N218PS""","73","15.027397260273972"
"""N478PX""","106","15.018867924528301"
"""N8512U""","158","15.0"
"""N256NN""","77","15.0"
"""N153PQ""","118","14.991525423728813"
"""N849DN""","70","14.985714285714286"
"""N923AN""","75","14.973333333333333"
"""N707TW""","74","14.972972972972974"
"""N303PQ""","131","14.969465648854962"
"""N317NB""","109","14.963302752293577"
"""N8728Q""","134","14.962686567164178"
"""N520JB""","52","14.961538461538462"
"""N847VA""","24","14.958333333333334"
"""N404SY""","117","14.957264957264957"
"""N78438""","87","14.954022988505747"
"""291NV""","59","14.94915254237288"
"""N414AL""","87","14.942528735632184"
"""N600LR""","127","14.937007874015748"
"""N934FJ""","121","14.933884297520661"
"""N174DZ""","15","14.933333333333334"
"""N624JB""","69","14.927536231884059"
"""N637JB""","94","14.925531914893616"
"""N69885""","52","14.923076923076923"
"""N962NK""","104","14.923076923076923"
"""N440LV""","165","14.915151515151516"
"""N37548""","88","14.909090909090908"
"""N825AA""","20","14.9"
"""N238JQ""","130","14.9"
"""N653NK""","128","14.8984375"
"""N924SW""","66","14.893939393939394"
"""N917WN""","156","14.884615384615385"
"""N7857B""","141","14.879432624113475"
"""N973JT""","85","14.870588235294118"
"""N645JB""","87","14.862068965517242"
"""195NV""","78","14.85897435897436"
