"Tail_Number","NumberOfFlights","Average_Departure_Delay"
"""N116AN""","61","38.91803278688525"
"""N633JB""","78","38.87179487179487"
"""N937NN""","17","38.76470588235294"
"""N782SK""","102","38.754901960784316"
"""N767UW""","125","38.744"
"""N309FR""","115","38.721739130434784"
"""N790SK""","84","38.535714285714285"
"""N809JB""","83","38.51807228915663"
"""N662JB""","78","38.42307692307692"
"""N816NW""","12","38.333333333333336"
"""N721UW""","108","38.2962962962963"
"""N9016""","56","38.267857142857146"
"""N815UA""","64","38.015625"
"""N779UA""","65","38.0"
"""N754AN""","19","37.89473684210526"
"""N568AS""","14","37.857142857142854"
"""N915NK""","98","37.83673469387755"
"""N974JT""","86","37.73255813953488"
"""N87360""","59","37.440677966101696"
"""N77430""","72","37.375"
"""N784SK""","86","37.325581395348834"
"""N530NK""","110","37.27272727272727"
"""N916SW""","32","37.25"
"""N675NK""","110","37.24545454545454"
"""N235FR""","117","37.162393162393165"
"""N789AN""","26","37.15384615384615"
"""N328FR""","100","37.15"
"""N652NK""","115","36.86086956521739"
"""N913JB""","62","36.854838709677416"
"""N3758Y""","104","36.84615384615385"
"""272NV""","33","36.75757575757576"
"""N211UA""","72","36.68055555555556"
"""N731AN""","3","36.666666666666664"
"""N686NK""","114","36.62280701754386"
"""N93003""","66","36.56060606060606"
"""N3113J""","82","36.53658536585366"
"""N161PQ""","89","36.52808988764045"
"""N394DA""","69","36.52173913043478"
"""N737US""","106","36.45283018867924"
"""N27964""","5","36.4"
"""N517NK""","93","36.39784946236559"
"""N362FR""","110","36.39090909090909"
"""N877NN""","83","36.325301204819276"
"""N206UA""","25","36.32"
"""N128UW""","119","36.285714285714285"
"""N705FR""","92","36.17391304347826"
"""N712EV""","63","36.15873015873016"
"""276NV""","38","36.078947368421055"
"""N505DZ""","83","36.036144578313255"
"""N723FR""","104","35.89423076923077"
"""N76517""","63","35.76190476190476"
"""331NV""","38","35.6578947368421"
"""N3065J""","16","35.625"
"""N881AS""","121","35.603305785123965"
"""N497UA""","83","35.602409638554214"
"""N794SK""","104","35.58653846153846"
"""N181DN""","51","35.470588235294116"
"""N643NK""","105","35.44761904761905"
"""N269SY""","12","35.416666666666664"
"""N344FR""","103","35.36893203883495"
"""N360HA""","41","35.34146341463415"
"""N638JB""","87","35.264367816091955"
"""N609SK""","31","35.225806451612904"
"""N382DN""","112","35.223214285714285"
"""N57016""","9","35.22222222222222"
"""N268SY""","75","35.2"
"""N554JB""","76","35.18421052631579"
"""N634JB""","48","35.104166666666664"
"""N283SY""","24","35.083333333333336"
"""N951AA""","91","35.07692307692308"
"""N385HA""","50","35.0"
"""N383HA""","45","34.977777777777774"
"""N980SW""","108","34.9537037037037"
"""N146AA""","35","34.94285714285714"
"""N510NK""","115","34.85217391304348"
"""209NV""","98","34.80612244897959"
"""N375HA""","50","34.76"
"""N848UA""","116","34.672413793103445"
"""N77261""","92","34.65217391304348"
"""N966NN""","77","34.64935064935065"
"""N576DZ""","14","34.642857142857146"
"""N2038J""","22","34.63636363636363"
"""N129DU""","127","34.62992125984252"
"""N183DN""","58","34.62068965517241"
"""N485UA""","53","34.58490566037736"
"""N461SW""","74","34.527027027027025"
"""N929NK""","69","34.492753623188406"
"""N916AN""","97","34.381443298969074"
"""N755AN""","25","34.32"
"""N659AE""","140","34.31428571428572"
"""N769US""","120","34.30833333333333"
"""N77006""","7","34.285714285714285"
"""N308RD""","60","34.28333333333333"
"""N315NB""","130","34.26923076923077"
"""N566JB""","65","34.261538461538464"
"""N459SW""","41","34.21951219512195"
"""N839MH""","5","34.2"
"""N110UW""","97","34.123711340206185"
"""N316FR""","95","34.11578947368421"
"""N561JB""","81","34.111111111111114"
"""N842VA""","23","34.08695652173913"
"""N603JB""","70","34.07142857142857"
"""N227HA""","60","34.05"
"""N507DZ""","88","33.97727272727273"
"""N2048J""","27","33.888888888888886"
"""N910AU""","76","33.8421052631579"
"""320NV""","49","33.816326530612244"
"""N529JB""","27","33.81481481481482"
"""N149AN""","92","33.79347826086956"
"""N354NB""","92","33.76086956521739"
"""N165NN""","95","33.757894736842104"
"""N87337""","63","33.74603174603175"
"""N927VA""","58","33.672413793103445"
"""215NV""","69","33.6231884057971"
"""N741UW""","98","33.62244897959184"
"""N148SY""","119","33.61344537815126"
"""N708FR""","96","33.53125"
"""N86312""","70","33.5"
"""N964JT""","43","33.46511627906977"
"""N348FR""","72","33.375"
"""N730US""","83","33.36144578313253"
"""N521DT""","87","33.35632183908046"
"""N786SK""","101","33.336633663366335"
"""247NV""","97","33.329896907216494"
"""N954NK""","88","33.27272727272727"
"""N303FR""","107","33.242990654205606"
"""N385FR""","95","33.242105263157896"
"""N14237""","74","33.229729729729726"
"""N114UW""","132","33.15151515151515"
"""N705PS""","86","33.03488372093023"
"""N657UA""","2","33.0"
"""N710FR""","79","32.962025316455694"
"""N670NK""","117","32.914529914529915"
"""N3730B""","89","32.91011235955056"
"""N109DU""","99","32.888888888888886"
"""N23139""","132","32.79545454545455"
"""N789SK""","106","32.783018867924525"
"""N18243""","13","32.76923076923077"
"""N510JB""","95","32.76842105263158"
"""N77014""","4","32.75"
"""N391FR""","116","32.75"
"""N363FR""","134","32.73880597014925"
"""N471CA""","94","32.723404255319146"
"""N642NK""","122","32.69672131147541"
"""N8974C""","111","32.666666666666664"
"""N906AN""","30","32.666666666666664"
"""N873AS""","57","32.64912280701754"
"""N390FR""","119","32.588235294117645"
"""N37290""","97","32.54639175257732"
"""N943JT""","38","32.526315789473685"
"""N394FR""","131","32.50381679389313"
"""N1602""","14","32.5"
"""N334FR""","120","32.5"
"""N559UW""","115","32.495652173913044"
"""N11164""","116","32.474137931034484"
"""N659AW""","92","32.45652173913044"
"""N360FR""","129","32.44961240310077"
"""N822AW""","131","32.44274809160305"
"""N57862""","62","32.435483870967744"
"""251NV""","63","32.42857142857143"
"""N664NK""","90","32.41111111111111"
"""N349FR""","91","32.37362637362637"
"""N151SY""","101","32.336633663366335"
"""N187JB""","6","32.333333333333336"
"""220NV""","64","32.3125"
"""N290NN""","42","32.285714285714285"
"""N516DA""","81","32.25925925925926"
"""N894NN""","108","32.23148148148148"
"""N354NW""","115","32.21739130434783"
"""N390HA""","42","32.19047619047619"
"""N33103""","62","32.17741935483871"
"""N87367""","39","32.15384615384615"
"""250NV""","68","32.13235294117647"
"""N184GJ""","118","32.09322033898305"
"""N819DN""","92","32.07608695652174"
"""N629JB""","58","32.0"
"""N393DA""","71","32.0"
"""N326FR""","116","31.982758620689655"
"""N836AW""","125","31.92"
"""N359FR""","124","31.919354838709676"
"""N955JB""","95","31.894736842105264"
"""N454UA""","91","31.824175824175825"
"""N77536""","73","31.80821917808219"
"""N75861""","66","31.78787878787879"
"""N142AN""","94","31.78723404255319"
"""N715FR""","98","31.70408163265306"
"""N14153""","81","31.679012345679013"
"""N86334""","85","31.63529411764706"
"""N69810""","5","31.6"
"""N21108""","58","31.586206896551722"
"""N416AW""","121","31.56198347107438"
"""N464SW""","102","31.558823529411764"
"""N164SY""","105","31.466666666666665"
"""N2352U""","30","31.4"
"""N436AW""","137","31.357664233576642"
"""N16009""","14","31.357142857142858"
"""N658NK""","107","31.33644859813084"
"""N797SK""","107","31.261682242990656"
"""N812NW""","12","31.25"
"""N88335""","83","31.156626506024097"
"""N24103""","97","31.144329896907216"
"""N513DZ""","7","31.142857142857142"
"""253NV""","80","31.125"
"""N471ZW""","79","31.10126582278481"
"""N712US""","109","31.073394495412845"
"""N718FR""","42","31.047619047619047"
"""N11193""","108","31.037037037037038"
"""N673NK""","112","31.0"
"""N557UW""","106","31.0"
"""N822NW""","3","31.0"
"""N921EV""","45","31.0"
"""N678NK""","110","30.990909090909092"
"""N815DN""","68","30.941176470588236"
"""N388DA""","57","30.92982456140351"
"""N757UW""","102","30.901960784313726"
"""N85323""","79","30.89873417721519"
"""N483AS""","53","30.849056603773583"
"""N306SW""","43","30.813953488372093"
"""N77867""","81","30.77777777777778"
"""N331FR""","111","30.774774774774773"
"""N163SY""","115","30.756521739130434"
"""N683NK""","119","30.73949579831933"
"""N903NK""","89","30.685393258426966"
"""N843DN""","96","30.625"
"""N361HA""","44","30.545454545454547"
"""N636VA""","13","30.53846153846154"
"""N971JT""","69","30.47826086956522"
"""N599JB""","78","30.435897435897434"
"""N901NK""","92","30.434782608695652"
"""N526JL""","95","30.42105263157895"
"""N807DN""","94","30.414893617021278"
"""N954SW""","93","30.322580645161292"
"""206NV""","66","30.272727272727273"
"""N392FR""","121","30.140495867768596"
"""N341NB""","103","30.097087378640776"
"""N977UY""","100","30.08"
"""N701BR""","77","30.064935064935064"
"""N840DN""","85","30.011764705882353"
"""N170US""","94","29.98936170212766"
"""219NV""","46","29.934782608695652"
"""N483UA""","94","29.882978723404257"
"""N623UX""","89","29.853932584269664"
"""N998AN""","20","29.8"
"""325NV""","86","29.77906976744186"
"""N521JB""","70","29.714285714285715"
"""N344NW""","45","29.711111111111112"
"""N916EV""","112","29.6875"
"""N558JB""","73","29.684931506849313"
"""N829NW""","3","29.666666666666668"
"""N330FR""","125","29.656"
"""N370NW""","92","29.652173913043477"
"""N946AT""","121","29.628099173553718"
"""N304RB""","50","29.58"
"""N712FR""","93","29.56989247311828"
"""N944SW""","96","29.541666666666668"
"""252NV""","100","29.54"
"""N508DA""","73","29.52054794520548"
"""N69063""","16","29.5"
"""N656JB""","85","29.470588235294116"
"""N624UX""","121","29.454545454545453"
"""N833SK""","109","29.412844036697248"
"""N744P""","124","29.39516129032258"
"""N946AN""","79","29.39240506329114"
"""N791SK""","107","29.35514018691589"
"""N822AN""","26","29.307692307692307"
"""N337FR""","121","29.297520661157026"
"""239NV""","14","29.285714285714285"
"""N337NW""","135","29.237037037037037"
"""N940NK""","51","29.235294117647058"
"""N149SY""","100","29.23"
"""N455AW""","77","29.22077922077922"
"""N379FR""","108","29.14814814814815"
"""N459AW""","139","29.14388489208633"
"""N226UA""","14","29.071428571428573"
"""N77022""","14","29.071428571428573"
"""N665JB""","63","29.03174603174603"
"""N329FR""","107","29.0"
"""N677NK""","87","28.96551724137931"
"""N840SK""","107","28.869158878504674"
"""N3760C""","61","28.80327868852459"
"""N801UA""","5","28.8"
"""N378HA""","39","28.76923076923077"
"""N679NK""","115","28.756521739130434"
"""N11192""","96","28.71875"
"""N137AA""","89","28.674157303370787"
"""N8776L""","63","28.634920634920636"
"""N212HA""","54","28.61111111111111"
"""N642UA""","44","28.59090909090909"
"""N922VA""","53","28.58490566037736"
"""N350FR""","110","28.554545454545455"
"""N788SK""","89","28.53932584269663"
"""N112DU""","116","28.50862068965517"
"""N77259""","92","28.5"
"""N357DN""","107","28.49532710280374"
"""N722FR""","77","28.48051948051948"
"""N210UA""","50","28.48"
"""N529NK""","126","28.476190476190474"
"""N335FR""","122","28.450819672131146"
"""N82338""","89","28.44943820224719"
"""N518DQ""","27","28.444444444444443"
"""N621JB""","77","28.441558441558442"
"""N371DA""","82","28.4390243902439"
"""N806AW""","99","28.434343434343436"
"""N507DN""","12","28.416666666666668"
"""N133DU""","112","28.410714285714285"
"""N187GJ""","130","28.392307692307693"
"""N341NW""","109","28.36697247706422"
"""N916NK""","82","28.28048780487805"
"""N517AS""","29","28.275862068965516"
"""N823NN""","109","28.275229357798164"
"""N531GJ""","96","28.270833333333332"
"""N751UW""","114","28.263157894736842"
"""N964NN""","70","28.228571428571428"
"""N619NK""","124","28.20967741935484"
"""N312US""","108","28.15740740740741"
"""N606NK""","102","28.11764705882353"
"""N839NN""","82","28.109756097560975"
"""N273WN""","38","28.07894736842105"
"""N118US""","134","28.059701492537314"
"""N177XF""","127","28.055118110236222"
"""N317US""","134","28.01492537313433"
"""N830SK""","115","28.008695652173913"
"""N3735D""","79","28.0"
"""N837MH""","12","28.0"
"""N837AW""","113","27.98230088495575"
"""N341FR""","111","27.972972972972972"
"""N570AS""","84","27.952380952380953"
"""N502NK""","37","27.945945945945947"
"""N658JB""","83","27.93975903614458"
"""N563JB""","55","27.927272727272726"
"""N2243U""","26","27.923076923076923"
"""N17730""","81","27.91358024691358"
"""N912EV""","113","27.911504424778762"
"""N794AN""","8","27.875"
"""N584JB""","84","27.86904761904762"
"""N945SW""","101","27.85148514851485"
"""N691CA""","141","27.836879432624112"
"""N501GJ""","94","27.829787234042552"
"""N959AN""","88","27.806818181818183"
"""N373FR""","129","27.782945736434108"
"""N833AA""","23","27.782608695652176"
"""N665NK""","109","27.678899082568808"
"""N647AW""","117","27.666666666666668"
"""N620NK""","139","27.62589928057554"
"""N441UA""","73","27.602739726027398"
"""N308FR""","136","27.580882352941178"
"""N223UA""","9","27.555555555555557"
"""N3014R""","56","27.553571428571427"
"""N421UA""","89","27.53932584269663"
"""N161AA""","90","27.533333333333335"
"""N354FR""","106","27.5188679245283"
